aberration,straying away from what is normal
infuriate,fill with fury or rage
aggravate,make worse; irritate
tractable,easily controlled or guided
odor,smell
edify,instruct; correct morally
refine,make or become pure cultural
inclined,directing the mind in a certain direction
grievous,causing grief or pain; serious dire grave
woo,try to win
precursors,a person or thing that precedes, as in a process or job."
recuperate,become strong after illness loss exhaustion
gerontocracy,government ruled by old people
asterisk,the mark * (e.g.. omitted letters)
heterogeneous,made up of different kinds
divergence,getting farther apart from a point
ingest,take in by swallowing
ambidextrous,able to use the left hand or the right equally well
suffice,be enough
gallant,brave,behaves well with women"
auxiliary,helping; supporting
permeate,spread into every part of
satiate,satisfy fully
recitals,a number of performance of music
vivacious,lively high-spirited
judicious,sound in judgment; wise
allegiance,duty support loyalty
surcharge,additional load/charge
appease,make quiet or calm
malevolent,malicious; evil; having or showing ill will
misanthrope,person who hates mankind
spear,weapon with a metal point on a long shaft
mesmerize,hypnotize
agile,active; quick-moving
dangle,hand or swing loosely
abysmal,extreme bad
chortle,loud chuckle of pleasure or amusement
evoke,call up bring out
indistinct,not easily heard; seen clearly marked
ail,to cause pain, uneasiness, or trouble to."
lampoon,publicly mock or ridicule
boisterous,noisy; restraint
embezzle,use in a wrong way for one's own benefit
retrospective,Looking back on past
salvage,the saving of property from loss
disproof,proof to the contrary
clientele,customers
beguile,mislead or delude; cheat; pass time
stride,walk with long steps
parenthesis,sentence within another one something separated
luminary,star; light-giving body
accolade,praise; approval
sluggard,lazy slow-moving person
endorse,write one's name on the back of
hospitable,liking to give hospitality
ameliorate,improve; make better
alleviate,make (pain) easier to bear
commuter,person who travels regularly
implosion,collapse; bursting inward
bogus,sham; counterfeit; not genuine
scribble,write hastily
negligent,taking too little care
enduring,lasting
incongruous,out of place; not in harmony or agreement
introspection,examining one's own thoughts and feelings
timid,shy easily frightened
tadpole,form of a frog when it leaves the egg
suffocate,cause or have difficulty in breathing
extralegal,outside the law
mischievous,harmful; causing mischief
predominate,have more power than others
forgery,counterfeit
buoyant,able to float; light-hearted
catalyst,substance that causes speeding up
meticulous,giving great attention to details
animosity,strong dislike
patron,regular customer person who gives support
complaisant,trying to please; obliging
articulate,speak distinctly; connect by joints
cumbersome,burdensome; heavy and awkward to carry
malleable,yielding easily shaped; moldable; adapting
disrobe,undress
partisan,one-sided committed to a party biased or prejudiced
